 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 1, 4, 1, 4, 4, 4, 4, 1, 4, 0, 0, 0, 0, 0, 0
 0, 0, 0, 4, 4, 4, 4, 1, 4, 0, 4, 0, 0, 0, 0, 0
 0, 0, 1, 4, 1,15,15,15, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 4, 4, 4,15, 1,15,15, 0, 0, 0, 0, 0, 0, 0
 0, 0, 4, 4, 4,15, 1,15, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0,15,15,15,15, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0,13,13,13, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0,13,13,13, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0
